,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Bethel,US,39.94,few clouds,41.3712,-73.414,Hampton Inn Danbury
4,Bunia,CD,62.71,light rain,1.5667,30.25,Hôtel Shalom
5,Cape Town,ZA,64.11,broken clouds,-33.9258,18.4232,Townhouse Hotel
7,Khatanga,RU,-9.58,broken clouds,71.9667,102.5,Хатанга
8,Kolvereid,NO,38.43,overcast clouds,64.8655,11.6047,Bakkalandet hotell
9,Jand,PK,59.38,clear sky,33.4299,72.0193,Rehman Hotel Jand
10,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
11,Rawson,AR,57.49,few clouds,-43.3002,-65.1023,Hotel Deportivo
12,Ushuaia,AR,46.06,broken clouds,-54.8,-68.3,Apart Hotel Aires del Beagle
14,Oga,IT,28.94,overcast clouds,46.4631,10.347,Residence Inn
16,Geraldton,AU,70.21,light rain,-28.7667,114.6,Ocean Centre Hotel
17,Bandarban,BD,70.43,scattered clouds,22.1965,92.2262,Hotel Plaza
18,Nanortalik,GL,31.96,overcast clouds,60.1432,-45.2371,Kap Farvel
20,Ilinskiy,RU,10.78,clear sky,55.619,38.1182,Зодиак
22,Hithadhoo,MV,81.18,overcast clouds,-0.6,73.0833,Pebbles Inn
31,Kapaa,US,82.72,broken clouds,22.0752,-159.319,Pono Kai Resort
32,Kigoma,TZ,72.72,overcast clouds,-4.8769,29.6267,sunset vista hotel
33,Sao Filipe,CV,75.83,clear sky,14.8961,-24.4956,Bela Vista
35,Mineiros,BR,80.87,broken clouds,-17.5694,-52.5511,Hotel Dallas
36,Axim,GH,79.07,broken clouds,4.8699,-2.2405,Axim Beach Hotel
37,Moreno Valley,US,65.8,clear sky,33.9375,-117.2306,Hotel XOLA Trademark Collection by Wyndham
38,Thompson,CA,5.52,light snow,55.7435,-97.8558,Thompson Inn
39,Letterkenny,IE,42.28,overcast clouds,54.95,-7.7333,Letterkenny Court Hotel
43,Mahebourg,MU,72.25,broken clouds,-20.4081,57.7,Grand Bel Air
44,Bredasdorp,ZA,64.89,clear sky,-34.5322,20.0403,Victoria Hotel
45,Mahon,ES,54.16,few clouds,39.8885,4.2658,Eurohotel
47,Sinnamary,GF,76.98,broken clouds,5.3833,-52.95,Hôtel du fleuve
51,Rikitea,PF,72.34,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
52,Hamilton,US,60.44,broken clouds,39.1834,-84.5333,North Vista Manor
53,Hermanus,ZA,59.81,few clouds,-34.4187,19.2345,Aloe guest house
54,Pirmasens,DE,43.92,overcast clouds,49.2015,7.6053,Best Western Hotel
55,Punta Arenas,CL,48.31,broken clouds,-53.15,-70.9167,Hotel Lacolet
57,Hilo,US,82.13,broken clouds,19.7297,-155.09,Dolphin Bay Hotel
59,Klaksvik,FO,41.92,overcast clouds,62.2266,-6.589,Hotel Klaksvik
61,Pontes E Lacerda,BR,88.2,scattered clouds,-15.2261,-59.3353,Hotel Avenida
62,Kodiak,US,29.32,few clouds,57.79,-152.4072,Shelikof Lodge
63,Alexandria,EG,66.29,clear sky,31.2156,29.9553,Smoha Zahran Haus (7th floor)
66,Tabou,CI,77.79,scattered clouds,4.423,-7.3528,hôtel le rochet
67,Georgetown,MY,79.23,few clouds,5.4112,100.3354,Page 63 hostel
69,Yinchuan,CN,8.15,clear sky,38.4681,106.2731,Yinchuan hotel
72,Mehamn,NO,35.55,broken clouds,71.0357,27.8492,Mehamn Arctic hotell
73,Narva-Joesuu,EE,28.69,light snow,59.4589,28.0408,YES Hotel
75,Mar Del Plata,AR,69.1,light rain,-38.0023,-57.5575,Nuevo Ostende
77,Hobart,AU,64.26,scattered clouds,-42.8794,147.3294,The Old Woolstore Apartment Motel
78,Bronnoysund,NO,41.0,clear sky,65.4625,12.1997,Thon Hotel Brønnøysund
79,Severo-Kurilsk,RU,39.76,light rain,50.6789,156.125,"""Дом рыбака"""
80,Nemuro,JP,39.49,overcast clouds,43.3236,145.575,イーストハーバーホテル
