,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Kondinskoye,RU,59.6481,67.41,-4.67,93,80,5.75,broken clouds
1,Mataura,NZ,-46.1927,168.8643,59.49,62,100,6.78,light rain
2,Walvis Bay,NA,-22.9575,14.5053,62.1,83,59,8.84,broken clouds
3,Bethel,US,41.3712,-73.414,39.94,71,20,0.0,few clouds
4,Bunia,CD,1.5667,30.25,62.71,88,100,1.86,light rain
5,Cape Town,ZA,-33.9258,18.4232,64.11,87,75,6.91,broken clouds
6,Yellowknife,CA,62.456,-114.3525,-19.68,76,40,6.91,scattered clouds
7,Khatanga,RU,71.9667,102.5,-9.58,91,74,6.51,broken clouds
8,Kolvereid,NO,64.8655,11.6047,38.43,74,100,9.04,overcast clouds
9,Jand,PK,33.4299,72.0193,59.38,37,4,2.59,clear sky
10,Puerto Ayora,EC,-0.7393,-90.3518,78.76,86,55,5.99,broken clouds
11,Rawson,AR,-43.3002,-65.1023,57.49,67,20,25.32,few clouds
12,Ushuaia,AR,-54.8,-68.3,46.06,66,75,18.41,broken clouds
13,Katangli,RU,51.7102,143.2326,14.47,89,100,23.62,overcast clouds
14,Oga,IT,46.4631,10.347,28.94,98,99,2.86,overcast clouds
15,Teya,RU,60.3778,92.6267,-18.06,99,98,2.75,overcast clouds
16,Geraldton,AU,-28.7667,114.6,70.21,83,100,9.22,light rain
17,Bandarban,BD,22.1965,92.2262,70.43,99,30,1.81,scattered clouds
18,Nanortalik,GL,60.1432,-45.2371,31.96,87,100,12.3,overcast clouds
19,Torbay,CA,47.6666,-52.7314,31.75,73,75,25.32,light snow
20,Ilinskiy,RU,55.619,38.1182,10.78,92,0,2.24,clear sky
21,Ouadda,CF,8.0777,22.4007,78.76,32,100,1.68,overcast clouds
22,Hithadhoo,MV,-0.6,73.0833,81.18,74,99,7.78,overcast clouds
23,Belyy Yar,RU,53.6039,91.3903,-12.14,73,32,4.47,smoke
24,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,88,75,14.97,broken clouds
25,San Patricio,US,28.017,-97.5169,87.89,57,65,7.78,broken clouds
26,Flinders,AU,-34.5833,150.8552,69.19,69,16,5.99,few clouds
27,Kalnciems,LV,56.8011,23.6097,33.85,96,85,4.43,overcast clouds
28,Alofi,NU,-19.0595,-169.9187,82.29,74,75,11.5,broken clouds
29,Kaitangata,NZ,-46.2817,169.8464,54.82,93,100,7.78,overcast clouds
30,Krasnoselkup,RU,65.7,82.4667,-7.73,100,77,5.23,broken clouds
31,Kapaa,US,22.0752,-159.319,82.72,79,75,10.36,broken clouds
32,Kigoma,TZ,-4.8769,29.6267,72.72,82,100,3.24,overcast clouds
33,Sao Filipe,CV,14.8961,-24.4956,75.83,65,1,7.92,clear sky
34,Ribeira Grande,PT,38.5167,-28.7,62.78,89,77,5.99,broken clouds
35,Mineiros,BR,-17.5694,-52.5511,80.87,32,71,1.63,broken clouds
36,Axim,GH,4.8699,-2.2405,79.07,80,64,5.5,broken clouds
37,Moreno Valley,US,33.9375,-117.2306,65.8,50,0,4.61,clear sky
38,Thompson,CA,55.7435,-97.8558,5.52,93,100,15.46,light snow
