City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cockburn Town,21.4612,-71.1419,84.16,65,40,16.11,TC,2022-11-20 20:27:12
1,Gat,31.61,34.7642,70.79,37,33,16.49,IL,2022-11-20 20:29:35
2,Parvatsar,26.8833,74.7667,62.37,30,0,5.79,IN,2022-11-20 20:29:35
3,Punta Arenas,-53.15,-70.9167,53.71,54,75,24.16,CL,2022-11-20 20:26:35
4,Saint George,37.1041,-113.5841,52.43,28,0,4.0,US,2022-11-20 20:29:36
5,Cockburn Town,21.4612,-71.1419,84.16,65,40,16.11,TC,2022-11-20 20:27:12
6,Gat,31.61,34.7642,70.79,37,33,16.49,IL,2022-11-20 20:29:35
7,Parvatsar,26.8833,74.7667,62.37,30,0,5.79,IN,2022-11-20 20:29:35
8,Punta Arenas,-53.15,-70.9167,53.71,54,75,24.16,CL,2022-11-20 20:26:35
9,Saint George,37.1041,-113.5841,52.43,28,0,4.0,US,2022-11-20 20:29:36
